Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,SAAlito,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,ACBarrett,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,CThomas,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
