Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-442,REED v. GOERTZ,4/19/2023,SAAlito,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,EKagan,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,NMGorsuch,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-442,REED v. GOERTZ,4/19/2023,KBJackson,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,JGRoberts,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,SAAlito,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,SSotomayor,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,EKagan,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,BMKavanaugh,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,ACBarrett,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-468,NATIONAL PORK PRODUCERS COUNCIL v. ROSS,5/11/2023,KBJackson,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,JGRoberts,dissent,Petitioner,Respondent/Appellee won
